arm,read_ratio,nop_counter,streaming_only,status,throughput_GBps,probe_latency_ns,reason
fixedlat,80,200,False,pending,,,not yet evaluated
fixedlat,80,300,False,pending,,,not yet evaluated
fixedlat,80,500,False,pending,,,not yet evaluated
fixedlat,80,750,False,pending,,,not yet evaluated
fixedlat,80,1000,False,pending,,,not yet evaluated
fixedlat,80,2000,False,pending,,,not yet evaluated
fixedlat,80,5000,False,pending,,,not yet evaluated
fixedlat,80,10000,False,pending,,,not yet evaluated
fixedlat,70,1,False,pending,,,not yet evaluated
fixedlat,70,33,False,pending,,,not yet evaluated
fixedlat,70,36,False,pending,,,not yet evaluated
fixedlat,70,38,False,pending,,,not yet evaluated
fixedlat,70,41,False,pending,,,not yet evaluated
fixedlat,70,44,False,pending,,,not yet evaluated
fixedlat,70,47,False,pending,,,not yet evaluated
fixedlat,70,50,False,pending,,,not yet evaluated
fixedlat,70,52,False,pending,,,not yet evaluated
fixedlat,70,55,False,pending,,,not yet evaluated
fixedlat,70,58,False,pending,,,not yet evaluated
fixedlat,70,65,False,pending,,,not yet evaluated
fixedlat,70,70,False,pending,,,not yet evaluated
fixedlat,70,80,False,pending,,,not yet evaluated
fixedlat,70,90,False,pending,,,not yet evaluated
fixedlat,70,100,False,pending,,,not yet evaluated
fixedlat,70,125,False,pending,,,not yet evaluated
fixedlat,70,150,False,pending,,,not yet evaluated
fixedlat,70,200,False,pending,,,not yet evaluated
fixedlat,70,300,False,pending,,,not yet evaluated
fixedlat,70,500,False,pending,,,not yet evaluated
fixedlat,70,750,False,pending,,,not yet evaluated
fixedlat,70,1000,False,pending,,,not yet evaluated
fixedlat,70,2000,False,pending,,,not yet evaluated
fixedlat,70,5000,False,pending,,,not yet evaluated
fixedlat,70,10000,False,pending,,,not yet evaluated
fixedlat,60,1,False,pending,,,not yet evaluated
fixedlat,60,33,False,pending,,,not yet evaluated
fixedlat,60,36,False,pending,,,not yet evaluated
fixedlat,60,38,False,pending,,,not yet evaluated
fixedlat,60,41,False,pending,,,not yet evaluated
fixedlat,60,44,False,pending,,,not yet evaluated
fixedlat,60,47,False,pending,,,not yet evaluated
fixedlat,60,50,False,pending,,,not yet evaluated
fixedlat,60,52,False,pending,,,not yet evaluated
fixedlat,60,55,False,pending,,,not yet evaluated
fixedlat,60,58,False,pending,,,not yet evaluated
fixedlat,60,65,False,pending,,,not yet evaluated
fixedlat,60,70,False,pending,,,not yet evaluated
fixedlat,60,80,False,pending,,,not yet evaluated
fixedlat,60,90,False,pending,,,not yet evaluated
fixedlat,60,100,False,pending,,,not yet evaluated
fixedlat,60,125,False,pending,,,not yet evaluated
fixedlat,60,150,False,pending,,,not yet evaluated
fixedlat,60,200,False,pending,,,not yet evaluated
fixedlat,60,300,False,pending,,,not yet evaluated
fixedlat,60,500,False,pending,,,not yet evaluated
fixedlat,60,750,False,pending,,,not yet evaluated
fixedlat,60,1000,False,pending,,,not yet evaluated
fixedlat,60,2000,False,pending,,,not yet evaluated
fixedlat,60,5000,False,pending,,,not yet evaluated
fixedlat,60,10000,False,pending,,,not yet evaluated
