case,arm,cores,core,program,signed_error_pct
test-c8-08,mess,8,5,bark,-13.273987803543463
test-c8-08,mess,8,6,cam4,-2.0499201604113924
test-c8-08,mess,8,7,ligra_cf,1.1746523113742093
test-c4_mixed_07,fixedlat,4,0,tahoe_0014,-33.5349961803172
test-c4_mixed_07,fixedlat,4,1,gap_bc,-44.04925304256321
test-c4_mixed_07,fixedlat,4,2,sierra_a_3_0001,-30.195397023036165
test-c4_mixed_07,fixedlat,4,3,bark,-27.606862736600274
test-c4_mixed_08,fixedlat,4,0,sierra_a_4_0013,-42.97583157009786
test-c4_mixed_08,fixedlat,4,1,tahoe_0010,-30.57032319744905
test-c4_mixed_08,fixedlat,4,2,ligra_cf,-45.67801694118473
test-c4_mixed_08,fixedlat,4,3,xalancbmk,-5.17833839253379
test-c4_mixed_06,fixedlat,4,0,tahoe_0035,-41.95594400710413
test-c4_mixed_06,fixedlat,4,1,sierra_a_6_0006,-31.821258058891637
test-c4_mixed_06,fixedlat,4,2,ligra_radii,-45.84819792232582
test-c4_mixed_06,fixedlat,4,3,cam4,-6.970095093911964
test-c8-04,wmg1,8,0,sierra_a_3_0001,-30.279720557610098
test-c8-04,wmg1,8,1,cam4,-7.681640691461089
test-c8-04,wmg1,8,2,sierra_a_4_0013,-46.744193161864715
test-c8-04,wmg1,8,3,tahoe_0014,-34.57115267238915
test-c8-04,wmg1,8,4,xalancbmk,-7.752091855998868
test-c8-04,wmg1,8,5,tahoe_0011,-33.42200495151857
test-c8-04,wmg1,8,6,tahoe_0010,-39.77547846883379
test-c8-04,wmg1,8,7,pop2,-30.98498850022595
test-c8-07,fixedlat,8,0,biogpt,-47.00288176596129
test-c8-07,fixedlat,8,1,ligra_cf,-20.13455007783191
test-c8-07,fixedlat,8,2,gap_bc,-14.79669735197539
test-c8-07,fixedlat,8,3,sierra_a_6_0001,-8.138047124382528
test-c8-07,fixedlat,8,4,sierra_a_6_0011,-16.330243182792916
test-c8-07,fixedlat,8,5,sierra_a_4_0013,-15.922374064310668
test-c8-07,fixedlat,8,6,tahoe_0035,-11.781602029946981
test-c8-07,fixedlat,8,7,tahoe_0010,-12.133912889463994
test-c8-04,md1,8,0,sierra_a_3_0001,-23.50810404175389
test-c8-04,md1,8,1,cam4,-6.658468274005336
test-c8-04,md1,8,2,sierra_a_4_0013,-34.59018146813263
test-c8-04,md1,8,3,tahoe_0014,-26.121620247128945
test-c8-04,md1,8,4,xalancbmk,-5.525145790965918
test-c8-04,md1,8,5,tahoe_0011,-25.026624632192465
test-c8-04,md1,8,6,tahoe_0010,-28.819983425462553
test-c8-04,md1,8,7,pop2,-22.908284961421195
test-c8-02,md1,8,0,gcc,-30.569598694044352
test-c8-02,md1,8,1,gap_bc,-34.252836258571215
test-c8-02,md1,8,2,tahoe_0023,-23.994217256890824
test-c8-02,md1,8,3,sierra_a_4_0013,-35.05288952313772
test-c8-02,md1,8,4,pop2,-27.414091686712737
test-c8-02,md1,8,5,xalancbmk,-7.399333218867957
test-c8-02,md1,8,6,sierra_a_6_0006,-23.24865320940478
test-c8-02,md1,8,7,sierra_a_6_0001,-23.433272476613947
test-c8-04,mess,8,0,sierra_a_3_0001,0.5070829217177223
test-c8-04,mess,8,1,cam4,-4.651427187695447
test-c8-04,mess,8,2,sierra_a_4_0013,-2.0672054499666306
test-c8-04,mess,8,3,tahoe_0014,1.5320760225604366
test-c8-04,mess,8,4,xalancbmk,-0.1827463294661931
test-c8-04,mess,8,5,tahoe_0011,0.20221028582924597
test-c8-04,mess,8,6,tahoe_0010,-1.4625712503540158
test-c8-04,mess,8,7,pop2,-1.1494606482092995
test-c8-05,md1,8,0,sierra_a_6_0001,-19.024774282597264
test-c8-05,md1,8,1,tahoe_0035,-23.082819081421412
test-c8-05,md1,8,2,tahoe_0016,-19.86743997735519
test-c8-05,md1,8,3,sierra_a_4_0005,-23.820903470794736
test-c8-05,md1,8,4,gcc,-23.63948180051263
test-c8-05,md1,8,5,tahoe_0006,-23.513414505974332
test-c8-05,md1,8,6,sierra_a_3_0006,-22.160540303101907
test-c8-05,md1,8,7,ligra_radii,-23.98584703056409
test-c4_google_04,fixedlat,4,0,tahoe_0023,-22.85461555070336
test-c4_google_04,fixedlat,4,1,tahoe_0013,-31.554703255175905
test-c4_google_04,fixedlat,4,2,tahoe_0011,-26.202186653198975
