arm,pattern,read_percent,interval,admission_wait_max,admission_wait_sum,cpu_seconds,drain_cpu_seconds,drain_simulated_cycles,drain_wall_seconds,input_loading_wall_seconds,measured_reads,measured_reads_completed,measured_simulated_cycles,measured_writes,measured_writes_completed,peak_rss_kib,repeat,requests_per_second,simulated_cycles,total_process_cpu_seconds,total_process_wall_seconds,wall_seconds,warmup_cpu_seconds,warmup_reads_outstanding,warmup_wall_seconds,warmup_writes_outstanding
oracle,streaming,50,256,0,0,28.889133,2e-06,1,3.362e-06,0.084188656,2498354,2498354,1280000001,2501646,2501646,210840,3,173065.82303175394,1305599745,29.56,29.57,28.890741756,0.578286,0,0.578294073,1
oracle,streaming,50,256,0,0,29.812837,1e-06,1,2.85e-06,0.08166191,2498354,2498354,1280000001,2501646,2501646,210832,4,167703.6942117243,1305599745,30.5,30.51,29.81448932,0.596837,0,0.596848456,1
oracle,streaming,50,256,0,0,28.517459,1e-06,1,2.528e-06,0.08068892,2498354,2498354,1280000001,2501646,2501646,210840,5,175320.13345215397,1305599745,29.18,29.19,28.519257324,0.570558,0,0.570568851,1
astra_single_core,streaming,50,256,0,0,0.868867,1e-06,43,1.895e-06,0.088571423,2498354,2498354,1280000043,2501646,2501646,210832,1,5754444.893497027,1305599787,0.99,0.99,0.868893541,0.017684,0,0.017686933,1
astra_single_core,streaming,50,256,0,0,0.867446,1e-06,43,2.168e-06,0.090357551,2498354,2498354,1280000043,2501646,2501646,210752,2,5763688.960127572,1305599787,0.98,0.99,0.86749997,0.017657,0,0.017659766,1
astra_single_core,streaming,50,256,0,0,0.873232,1e-06,43,1.464e-06,0.087471597,2498354,2498354,1280000043,2501646,2501646,210832,3,5725761.665351614,1305599787,0.99,0.99,0.873246267,0.017632,0,0.017634701,1
astra_single_core,streaming,50,256,0,0,0.866797,1e-06,43,1.872e-06,0.091581823,2498354,2498354,1280000043,2501646,2501646,210840,4,5768193.011407551,1305599787,0.99,0.99,0.866822589,0.017522,0,0.017525448,1
astra_single_core,streaming,50,256,0,0,0.866461,0.0,43,1.987e-06,0.091058812,2498354,2498354,1280000043,2501646,2501646,210788,5,5770508.590653083,1305599787,0.98,0.99,0.866474752,0.017541,0,0.017543919,1
deepseek_single_core,streaming,50,256,0,0,1.151851,1e-06,8,1.971e-06,0.084665579,2498354,2498354,1280000008,2501646,2501646,210784,1,4340759.206407574,1305599752,1.27,1.27,1.151872233,0.023364,0,0.02336607,1
deepseek_single_core,streaming,50,256,0,0,1.136969,1e-06,8,2.666e-06,0.087726094,2498354,2498354,1280000008,2501646,2501646,210788,2,4397557.38273244,1305599752,1.26,1.26,1.136994828,0.023143,0,0.02314618,1
