cohort,cores,arm,cases,core_abs_pct,core_signed_pct,mae_L,drift_L,abs_drift_L,p99_L,p999_L,worst_core_pct,makespan_abs_pct,oracle_coverage,model_coverage,min_oracle_pairing,paired_reads_total
training,1,deepseek_single_core,14,0.7958021656462257,0.08463598991664166,0.173914530120632,0.009529907507845227,0.029003199940826167,1.4233410049696442,3.115200231560723,0.7958021656462257,0.7958021656462257,0.9607057469679212,0.960707026679259,0.9035349728231606,4359726
training,1,deepseek_multicore,14,1.4357427267434775,-0.7353559523401313,0.1726453607837722,-0.002963651350719376,0.036178137065814915,1.4339962202902694,3.1228458293908083,1.4357427267434775,1.4357427267434775,0.9606704357133248,0.9606717894376233,0.9035349728231606,4359423
test,4,fixedlat,8,27.492089760556446,-27.492089760556446,0.5976214472026882,-0.5258348781878851,0.5258348781878851,3.151809636076263,5.974501342593078,40.24390818946582,38.49877139260701,0.8132931557361791,0.8211306879021674,0.665968778441829,9868798
test,4,md1,8,22.418485019080293,-21.6361304829028,0.5569259737420791,-0.44753965036458576,0.44753965036458576,3.1241093928456714,6.143666492302218,32.277202410478765,30.140732798089093,0.7955324200198246,0.8011888891711216,0.6328212617304452,9458738
test,4,wmg1,8,28.541186609077283,-28.541186609077283,0.6278162980143613,-0.5720751316608267,0.5720751316608267,3.244350182427837,6.2540358854675535,41.25548843243244,39.281671074532625,0.7936638045959123,0.8011707099942779,0.6359182350074044,9483793
test,4,mess,8,4.800559700059077,0.09887938555200537,0.4610252710734385,-0.028125568033071723,0.05950766382586501,2.672039505752393,5.712301863739584,11.184338215713971,1.5222093854883907,0.804991740913955,0.8032329169045674,0.6335780689357395,9586720
test,4,astra_single_core,8,4.706319915751923,0.32585519488034165,0.5267490349845041,0.058105040137713955,0.0804175204393208,3.051617646653539,5.481118786705322,9.38780209265133,5.281902026279986,0.8307482765507801,0.8365182869452941,0.675710641433371,9974667
test,4,astra_multicore,8,3.8423797106373363,0.528302507132618,0.5250950971192264,0.05216878279455804,0.06997589658482589,3.032052510046916,5.458131331930675,8.007388123180403,4.318473634151727,0.8327213477795677,0.8371849624543196,0.6821218073610216,10016860
test,4,deepseek_single_core,8,4.351135830096371,2.481007831927632,0.5325664398041416,0.020156205708365786,0.07398279575319423,2.7748577368718426,5.2618760732587955,8.243146154942595,4.725604891510542,0.8201668126755668,0.8227935002607716,0.646166381134888,9702845
test,4,deepseek_multicore,8,4.15632260855805,0.8490551371432231,0.5194898227945057,-0.008604440036795207,0.07288043492493529,2.790045716031581,5.315431400657847,7.474172678090236,4.507634780636031,0.8190393743174793,0.8220910037337716,0.6480607986027613,9704813
test,8,fixedlat,8,26.020686718004317,-26.020686718004317,0.6471073703524819,-0.5032648645907174,0.5032648645907174,3.1667125616048555,5.26856299765271,43.76307466630752,39.57363507573613,0.8905939906547216,0.8946808977395042,0.822224248572373,20868808
test,8,md1,8,17.193215348326476,-17.029536978955036,0.6363482170751642,-0.37796544207070976,0.37796544207070976,3.2352733745891844,5.39626321145119,33.590347548709275,27.746765433630415,0.8563942040859578,0.8557892424642041,0.6567264920455561,19300180
test,8,wmg1,8,25.305295970764565,-25.305295970764565,0.6458278024439579,-0.5117169668301953,0.5117169668301953,3.285860642248457,5.439368427686665,42.417207348139854,38.10369992016294,0.8798766120277786,0.8828064617565159,0.8153860766948202,20494791
test,8,mess,8,6.442962644284883,-4.473571011661662,0.5745343325679002,-0.1825994389171529,0.1825994389171529,2.991739817008466,5.190457494384168,19.953215854781885,11.562830457981143,0.8685646940885237,0.8634326146069502,0.7026100767663461,19662232
test,8,astra_single_core,8,6.6636405912498144,-5.35015754681609,0.5967321751263328,-0.09334854200174159,0.09334854200174159,2.825820780111849,4.717353250973183,12.306024583783904,8.982467352616098,0.9060862471042698,0.9080713991183306,0.8582388230958324,21113076
test,8,astra_multicore,8,4.576493859834802,-2.811908370647638,0.6068097383146316,-0.07041780338193321,0.07041780338193321,2.8159248127394796,4.740821498250136,11.209997013431623,7.618396041938663,0.9055972984107803,0.9064160209339753,0.8567418569219488,21092581
test,8,deepseek_single_core,8,8.698317360987529,6.919395213865065,0.6495504935235358,0.016545064340914066,0.056765352353313356,2.713686999677657,4.580573018137513,14.016401647500421,4.852544044585472,0.8773441783729822,0.8748602289579972,0.7214739796438897,19855717
test,8,deepseek_multicore,8,5.506034445423838,-1.1547879554197,0.6093217981478327,-0.10428128684596595,0.10428128684596595,2.751603608947209,4.750454399047386,11.564668086637282,6.728780458431161,0.8778788145430854,0.8763284268119973,0.7204115671537967,19861187
test,1,fixedlat,24,23.880890545344517,-23.880890545344517,0.5161690823006163,-0.5085654651397813,0.5085654651397813,1.9277002379912813,3.5919064480687592,23.880890545344517,23.880890545344517,0.9315075001297867,0.9315047157518453,0.8773436616837221,7660119
test,1,md1,24,22.701249187605146,-22.701249187605146,0.5305166665573668,-0.5166342487115986,0.5166342487115986,1.9994557233044137,3.775174058766923,22.701249187605146,22.701249187605146,0.9255488223564022,0.9255464715117258,0.8754488149133054,7645608
