case,arm,mode,ending,core_abs_pct,signed_pct,instructions,oracle_instructions,cycles,ipc,dram_reads,verification,low_traffic,roi_seconds,total_hours,peak_rss_gib
polybench421_trisolv_large,deepseek_single_core,SE,roi_end,0.007213265493651812,0.007213265493651812,14022009,14022009,9718907,1.442755754325049,229207,array dump retained; compare oracle/FixedLat at printed precision,False,34.072642261,0.02229248927699195,0.142578125
gapbs-c1-bfs,mess,FS,roi_end,4.946472119018212,4.946472119018212,66999329,66989163,103698689,0.6460962008883256,1519028,numerical_verification,False,304.9222008990001,0.7971102402607599,3.124378204345703
gapbs-c1-bfs,astra_multicore,FS,roi_end,1.8817524914146984,-1.8817524914146984,66984080,66989163,96951650,0.6909019083223442,1516991,numerical_verification,False,306.218499432,0.7975047085682551,3.1254959106445312
polybench421_gemver_large,deepseek_multicore,SE,roi_end,2.532376089386005,-2.532376089386005,88101036,88101036,49293627,1.7872703098110432,1456064,array dump retained; compare oracle/FixedLat at printed precision,False,237.80846126300003,0.10640281995137532,0.142578125
parsec-c1-canneal,fixedlat,FS,roi_end,35.469565398116465,-35.469565398116465,1772310669,1774917366,5137269659,0.34499078044211345,36022779,roi_and_process_completion,False,8243.781992074,2.9575809699296953,3.24041748046875
polybench421_trisolv_large,fixedlat,SE,roi_end,5.793126838430879,-5.793126838430879,14022009,14022009,9155218,1.5315865771847268,229207,array dump retained; compare oracle/FixedLat at printed precision,False,34.97129585900001,0.021480792760849,0.14260101318359375
npb-c1-cg.B.x,fixedlat,FS,instruction_cap,0.23287385701363889,-0.23287385701363889,2000000000,2000000001,12182633314,0.16416811935902612,52051067,unavailable: instruction-capped interval,False,13291.835086316001,3.697155442039172,3.13055419921875
polybench421_gesummv_large,wmg1,SE,roi_end,8.330288637194007,-8.330288637194007,16609512,16609512,6342752,2.6186601651775128,377487,array dump retained; compare oracle/FixedLat at printed precision,False,49.809221498,0.04441248443391588,0.14260101318359375
parsec-c1-blackscholes,deepseek_single_core,FS,instruction_cap,0.18549714454787727,0.18549714454787727,2000000001,2000000003,691252225,2.8932999108972126,2647642,unavailable: instruction-capped interval,False,4953.937535256,1.3789092315567864,3.2388229370117188
parsec-c1-blackscholes,wmg1,FS,instruction_cap,0.3055184765332609,-0.3055184765332609,2000000000,2000000003,687864353,2.907550000632174,2647664,unavailable: instruction-capped interval,False,4972.7986141149995,1.3841910875505872,3.2403564453125
polybench421_atax_large,deepseek_single_core,SE,roi_end,0.08000117703837285,0.08000117703837285,41931771,41931771,19250105,2.1782619367530724,476230,array dump retained; compare oracle/FixedLat at printed precision,False,118.42340289700002,0.06975224097569784,0.14261627197265625
polybench421_atax_large,mess,SE,roi_end,1.5664488331177422,1.5664488331177422,41931771,41931771,19536019,2.146382586953872,476229,array dump retained; compare oracle/FixedLat at printed precision,False,124.19379197899997,0.0711450184053845,0.1425933837890625
parsec-c1-canneal,md1,FS,roi_end,34.45221861405515,-34.45221861405515,1772367540,1774917366,5218250389,0.33964785280064874,36025477,roi_and_process_completion,False,8387.019688421,3.0093571751647525,3.241413116455078
