arm,interval,mean,median,n,oracle_relative_speedup,pattern,read_percent,standard_deviation
mess,256,9641841.954844177,9641040.741169738,5,75.50167918102998,random,75,11883.01821083226
oracle,16,1378188.2729422285,1376990.7926315423,5,1.0,streaming,100,3956.8311726837537
astra_single_core,16,5550813.6752303615,5549838.968591909,5,4.0304110951865635,streaming,100,3617.9887358374253
deepseek_single_core,16,4129507.0632921057,4138266.139288016,5,3.005296884650514,streaming,100,22985.710356844585
astra_multicore,16,5251113.29167472,5538165.101784275,5,4.021933284826391,streaming,100,654491.9421351784
deepseek_multicore,16,3858259.507232269,3862396.748643069,5,2.8049546658636055,streaming,100,11105.322325135328
fixedlat,16,7896639.804434638,8026238.19644957,5,5.828824883506135,streaming,100,290667.9442544423
md1,16,8421367.571162496,8566032.59254449,5,6.2208350545134,streaming,100,356393.33028667694
wmg1,16,5041411.640535965,5054840.525953366,5,3.6709326983175767,streaming,100,26745.092371466137
mess,16,6833111.719064165,6831235.548563892,5,4.96098854481724,streaming,100,8331.97785254682
oracle,1,76349.10450460966,76518.15759285951,5,1.0,streaming,50,256.4790914030191
astra_single_core,1,4518727.568956987,4523636.491482556,5,59.118471141870394,streaming,50,11421.347934535088
deepseek_single_core,1,2380025.1698800484,2380325.64574381,5,31.10798430888953,streaming,50,3310.3170581635654
astra_multicore,1,4477798.9125514375,4487495.570258498,5,58.64615290576808,streaming,50,28109.44722425339
deepseek_multicore,1,2292879.4655335536,2290662.9680193015,5,29.936201289732317,streaming,50,4546.474018693551
fixedlat,1,3499174.7888186877,3510509.9968733503,5,45.87813020214358,streaming,50,21436.00703133363
md1,1,8917886.357474634,8907657.664057529,5,116.41233851256202,streaming,50,29306.330811768596
wmg1,1,4775538.142160736,4786523.062601564,5,62.55408145174984,streaming,50,27445.53064360303
mess,1,5802022.422569559,5811276.611645817,5,75.94637396481318,streaming,50,48984.58678188384
oracle,4,59439.06030362058,59412.64154354317,5,1.0,random,75,543.0903394768283
astra_single_core,4,4462289.007042396,4464596.342562495,5,75.14556206511065,random,75,12611.578872556987
deepseek_single_core,4,2790552.107840853,2789455.7381442655,5,46.95054226969339,random,75,4548.506751174376
astra_multicore,4,4380332.341775417,4377526.6881583445,5,73.68005485751851,random,75,11640.531570617944
deepseek_multicore,4,2717416.9920891444,2716879.6332252487,5,45.728982294686624,random,75,2901.2727437778585
fixedlat,4,3008493.1986102336,3012490.1232574135,5,50.704530971739025,random,75,11777.640641790691
md1,4,6986043.829538142,6982321.297320995,5,117.52248538223456,random,75,64124.197139174576
wmg1,4,4371383.547214649,4375539.437285641,5,73.64660657410485,random,75,11803.412139207176
mess,4,4837485.785702395,4847691.279659571,5,81.5935995053633,random,75,27800.559204455905
oracle,256,173458.25714260858,173531.7825992006,5,1.0,streaming,100,1300.218708618372
astra_single_core,256,6203957.063175354,6203372.159309172,5,35.747757940324114,streaming,100,13097.599215550177
deepseek_single_core,256,4486033.000456595,4487887.8047580095,5,25.862050959987563,streaming,100,3507.6693917050943
