case,arm,cohort,stage,cores,core_abs_pct,core_signed_pct,worst_core_pct,makespan_signed_pct,makespan_abs_pct,mae_L,drift_L,abs_drift_L,mae_cycles,p99_L,p999_L,p99_cycles,p999_cycles,min_cycles,max_cycles,min_L,max_L,L,pairs,oracle_coverage,model_coverage,address_mismatches,low_traffic,tail_1L_fraction,tail_1L_count,tail_1L_share,tail_5L_fraction,tail_5L_count,tail_5L_share,oracle_recorded_reads,oracle_without_stable_id,oracle_unmatched_reads,oracle_admissions_without_recorded_latency,oracle_admitted_foreground_reads,oracle_total_admitted_reads,model_recorded_reads,model_without_stable_id,model_unmatched_reads,model_admissions_without_recorded_latency,model_admitted_foreground_reads,model_total_admitted_reads
training-c1-mcf,opus_single_core,training,single_core,1,0.010323133487717713,-0.010323133487717713,0.010323133487717713,-0.010323133487717713,0.010323133487717713,0.0020531063199388322,-2.853829577399181e-05,2.853829577399181e-05,0.13810664593612668,0.014866093561408906,0.7284385845090364,1.0,49.0,-157,173,-2.333976689141198,2.571834186123741,67.26716711886662,252124,0.9971760573964357,0.9971760573964357,0,False,0.00011105646427948152,28,0.07768523836875359,0.0,0,0.0,252838,705,714,0,252838,252838,252838,705,714,0,252838,252838
training-c1-omnetpp,opus_single_core,training,single_core,1,0.07018834638996814,0.07018834638996814,0.07018834638996814,0.07018834638996814,0.07018834638996814,0.02053271248891702,0.0026157286516341476,0.0026157286516341476,2.2498721060594518,0.5293177870643454,1.5697010237080586,58.0,172.0,-236,208,-2.153775823227336,1.8982430984376524,109.57500657908055,183746,0.9299074880058301,0.9299074880058301,0,False,0.004130702164945087,759,0.28255342823623325,0.0,0,0.0,197596,13710,13850,0,197596,197596,197596,13710,13850,0,197596,197596
training-c1-whiskey,opus_single_core,training,single_core,1,0.0755155504135127,0.0755155504135127,0.0755155504135127,0.0755155504135127,0.0755155504135127,0.03627986021462268,0.0013673841320675465,0.0013673841320675465,3.791279834617553,0.7081275381913081,6.300143722250803,74.0,658.3710000000137,-1216,1087,-11.636257924873389,10.401819378566918,104.50094934735911,159630,0.9047422025992281,0.904726819315348,0,False,0.0078118148217753555,1247,0.5890479542367673,0.0013280711645680637,212,0.27610285491455744,176437,16741,16807,3,176440,176440,176440,16741,16810,0,176440,176440
training-c1-whisper,opus_single_core,training,single_core,1,0.16568456540218127,0.16568456540218127,0.16568456540218127,0.16568456540218127,0.16568456540218127,0.030065988796263148,0.009952187745167311,0.009952187745167311,2.948287271456507,0.6220646591422586,2.3352919171078237,61.0,229.0,-302,397,-3.079729951819051,4.048519175073388,98.06054580260287,134493,0.997915028121151,0.997915028121151,0,False,0.006215936888908717,836,0.3702247531044779,0.0,0,0.0,134774,279,281,0,134774,134774,134774,279,281,0,134774,134774
val1,opus_single_core,validation,single_core,1,0.13830358770215806,-0.13830358770215806,0.13830358770215806,-0.13830358770215806,0.13830358770215806,0.08253501965358533,-0.009974840481719233,0.009974840481719233,6.300176531162654,1.5065494138480462,3.0392996870673628,115.0,232.0,-790,328,-10.349339451651796,4.2969409368883404,76.33337409508903,40786,0.9975053805517511,0.9974809851060187,0,False,0.020840484479968616,850,0.4338824481726657,0.00019614573628205757,8,0.01603757797936636,40888,82,102,1,40889,40889,40889,82,103,0,40889,40889
val10,opus_single_core,validation,single_core,1,0.007336383080062853,-0.007336383080062853,0.007336383080062853,-0.007336383080062853,0.007336383080062853,0.0025827317674181277,-0.0007502609669700762,0.0007502609669700762,0.26356756843374557,0.0391965033143653,0.24497814571478313,4.0,25.0,-39,92,-0.38216590731506167,0.9015195762304019,102.04991929813347,249621,0.9972713180772181,0.9972713180772181,0,False,0.0,0,0.0,0.0,0,0.0,250304,324,683,0,250304,250304,250304,324,683,0,250304,250304
val11,opus_single_core,validation,single_core,1,0.02065970651356549,0.02065970651356549,0.02065970651356549,0.02065970651356549,0.02065970651356549,0.04008007450521247,0.0006105542896753411,0.0006105542896753411,4.600749407356427,0.8276058400196634,6.492184502776229,95.0,745.231000000058,-1558,1275,-13.57273577632248,11.10734153710601,114.78894348756995,156924,0.8772535931708789,0.8772486890799521,0,False,0.008437205271341541,1324,0.5358935576092015,0.0012171497030409625,191,0.26016942579172486,178881,21710,21957,0,178881,178881,178882,21710,21958,0,178882,178882
val12,opus_single_core,validation,single_core,1,0.0018937572249040173,0.0018937572249040173,0.0018937572249040173,0.0018937572249040173,0.0018937572249040173,0.0023657711080089707,0.0001322480743607499,0.0001322480743607499,0.12540025962786672,0.0,0.9621537217427375,0.0,51.0,-66,73,-1.2451401104906015,1.3772004252396046,53.00608296522962,80885,0.998013473829677,0.998013473829677,0,False,0.00042034987945849044,34,0.2212363206152026,0.0,0,0.0,81046,161,161,0,81046,81046,81046,161,161,0,81046,81046
val13,opus_single_core,validation,single_core,1,0.0007753396704945961,-0.0007753396704945961,0.0007753396704945961,-0.0007753396704945961,0.0007753396704945961,0.0006730651857040202,9.103769229127325e-05,9.103769229127325e-05,0.05853832124905476,0.011497855957304012,0.13797427148764813,1.0,12.0,-78,58,-0.8968327646697128,0.6668756455236327,86.97273680531283,22481,0.9822177560293603,0.9822177560293603,0,False,0.0,0,0.0,0.0,0,0.0,22888,406,407,0,22888,22888,22888,406,407,0,22888,22888
val14,opus_single_core,validation,single_core,1,0.06524925127730105,0.06524925127730105,0.06524925127730105,0.06524925127730105,0.06524925127730105,0.05680188956630146,0.0017905011955952157,0.0017905011955952157,6.519387996344351,1.3330529044317192,5.834101679863816,153.0,669.6040000000503,-2260,1037,-19.69084682363193,9.03513635225943,114.77413948940304,283397,0.9115638600023802,0.9115638600023802,0,False,0.01314763388462122,3726,0.5740107979378374,0.0017254946241491618,489,0.1967129886472809,310891,27088,27494,0,310891,310891,310891,27088,27494,0,310891,310891
val2,opus_single_core,validation,single_core,1,0.06773123678159877,0.06773123678159877,0.06773123678159877,0.06773123678159877,0.06773123678159877,0.025572108121983215,0.004530247181243193,0.004530247181243193,2.462597183924305,0.5815153465533557,1.786082850128164,56.0,172.0,-1202,1108,-12.4818115456631,11.505696499662823,96.30012403268852,293387,0.9354647399618018,0.9354617572410626,0,False,0.002300715437289314,675,0.17575094049223938,5.4535477032043e-05,16,0.019921272702610678,313627,19110,20240,0,313627,313627,313628,19110,20241,0,313628,313628
val3,opus_single_core,validation,single_core,1,0.47399086148866065,-0.47399086148866065,0.47399086148866065,-0.47399086148866065,0.47399086148866065,0.005070492840077406,-0.004933259511621937,0.004933259511621937,1.1452678782157186,0.008854684456839967,0.008854684456839967,2.0,2.0,-208,347,-0.9208871835113566,1.5362877532617343,225.86914415172214,177954,0.9979139329093907,0.9979139329093907,0,False,5.619429740269958e-06,1,0.0017026078849881013,0.0,0,0.0,178326,359,372,0,178326,178326,178326,359,372,0,178326,178326
val4,opus_single_core,validation,single_core,1,0.23564303275081044,-0.23564303275081044,0.23564303275081044,-0.23564303275081044,0.23564303275081044,0.04135102770878671,0.010187324990067966,0.010187324990067966,3.8139696272083836,0.834833374356762,2.190082358702155,77.0,202.0,-941,296,-10.202314354152117,3.2092295949298904,92.23397430574502,840094,0.9965646093073465,0.9965657914871962,0,False,0.008043147552535788,6757,0.35554242651508555,0.00026187545679412066,220,0.047050756641583126,842990,796,2896,0,842990,842990,842989,796,2895,0,842989,842989
val5,opus_single_core,validation,single_core,1,0.27401173740444174,0.27401173740444174,0.27401173740444174,0.27401173740444174,0.27401173740444174,0.1278173832356776,0.0038892001600396046,0.0038892001600396046,12.534583281645963,2.413876096212478,3.3854632643736853,236.72000000000116,332.0,-491,429,-5.00681464701048,4.374589579567202,98.06634249845284,56429,0.9977720802758376,0.9977367965061796,0,False,0.04479965974941962,2528,0.6762244208371389,1.77213843945489e-05,1,0.0006941754298656608,56555,126,126,2,56557,56557,56557,126,128,0,56557,56557
val6,opus_single_core,validation,single_core,1,0.0009269545880312551,0.0009269545880312551,0.0009269545880312551,0.0009269545880312551,0.0009269545880312551,0.000313770582909112,0.0001147163945639272,0.0001147163945639272,0.01895266325339082,0.0,0.06622195070193637,0.0,4.0,-19,178,-0.31455426583419777,2.9468768062361685,60.40293222414901,155862,0.9450420188448152,0.9450420188448152,0,False,7.699118450937368e-05,12,0.5890318212593094,0.0,0,0.0,164926,9064,9064,0,164926,164926,164926,9064,9064,0,164926,164926
