case,arm,core_abs_pct,core_signed_pct,mae_L,drift_L,p99_L,p999_L,min_cycles,max_cycles,L,pairs,oracle_coverage,model_coverage
training-c1-llama7b,md1,5.470322778590412,5.470322778590412,0.302164781877842,0.11969308979650665,1.783016982355476,1.783016982355476,-218,11,48.2328552397682,712473,0.9980332746397489,0.998034672688254
training-c1-llama7b,mess,75.73379953995465,75.73379953995465,1.371387755924904,1.3431238194274147,1.4512928926149222,1.4512928926149222,-159,70,48.2328552397682,711011,0.9959853027902565,0.9959866979699555
training-c1-llama7b,opus_single_core,0.0008079268262644006,-0.0008079268262644006,0.00012335348521579445,-1.1959962827009088e-05,0.0,0.0,-161,173,48.2328552397682,712474,0.9980346754412875,0.9980346754412875
training-c1-llama7b,wmg1,5.1250857929614595,-5.1250857929614595,0.14301851290808823,-0.0666388821281274,1.9696117828345374,1.9696117828345374,-227,2,48.2328552397682,712473,0.9980332746397489,0.998034672688254
training-c1-mcf,astra_single_core,0.021625332880260566,0.021625332880260566,0.009558729020693277,0.001635956756666573,0.43111671328085827,1.0852248299828502,-199,222,67.26716711886662,252076,0.9969862125155238,0.9969862125155238
training-c1-mcf,deepseek_single_core,0.021573803095796085,0.021573803095796085,0.010111713049290977,-0.0009858124071617169,0.35678624547381377,1.6489916961127382,-207,208,67.26716711886662,252078,0.9969941227188951,0.9969941227188951
training-c1-mcf,fixedlat,14.448783233211248,-14.448783233211248,0.34522394482279234,-0.3448081430799544,1.427144981895255,2.9137543380361457,-286,24,67.26716711886662,251700,0.995499094281714,0.995499094281714
training-c1-mcf,gemini_single_core,0.11879332978545042,0.11879332978545042,0.009682637472300039,0.003558664877979116,0.04459828068422672,0.7284385845090364,-194,200,67.26716711886662,252079,0.9969980778205808,0.9969980778205808
training-c1-mcf,md1,13.922552485962557,-13.922552485962557,0.362025835892406,-0.3294319740522147,1.4122788883338462,2.9137543380361457,-284,4,67.26716711886662,251651,0.9953052942991164,0.9953092308483331
training-c1-mcf,mess,23.63283022342782,23.63283022342782,0.669797029085148,0.6366645112800982,0.9960282686143968,1.9528100502268988,-219,67,67.26716711886662,251641,0.9952657432822598,0.9952696796750475
training-c1-mcf,opus_single_core,0.010323133487717713,-0.010323133487717713,0.0020531063199388322,-2.853829577399181e-05,0.014866093561408906,0.7284385845090364,-157,173,67.26716711886662,252124,0.9971760573964357,0.9971760573964357
training-c1-mcf,wmg1,14.795226562463366,-14.795226562463366,0.3593415325295374,-0.3593415325295374,1.442011075456664,2.948734256186615,-286,0,67.26716711886662,251648,0.9952934289940595,0.9952973654963474
training-c1-omnetpp,astra_single_core,0.16365333273623692,-0.16365333273623692,0.14213835104294925,-0.002887577606380389,1.3324206364033522,1.943873942150096,-262,394,109.57500657908055,183356,0.9279337638413733,0.9279384599812748
training-c1-omnetpp,deepseek_single_core,0.32623138590927514,0.32623138590927514,0.1683556674435464,-0.021957039118653987,1.3141682989183747,1.8891169296951635,-248,250,109.57500657908055,182846,0.9253527399340068,0.9253574230117159
training-c1-omnetpp,fixedlat,27.73427463727974,-27.73427463727974,0.588667011877712,-0.5875507393239551,1.9256216046651184,2.19940666693978,-321,20,109.57500657908055,182348,0.9228324460009312,0.9228371163237936
training-c1-omnetpp,gemini_single_core,2.9577525189688805,2.9577525189688805,0.18774414461457908,0.07344943274979782,1.7065935548453892,1.971252448377562,-244,401,109.57500657908055,183360,0.927954007166137,0.927954007166137
training-c1-omnetpp,md1,27.44309525673944,-27.44309525673944,0.5910333939630618,-0.5854099738648888,1.934747773407607,2.19940666693978,-340,4,109.57500657908055,181734,0.9197250956497095,0.9197297502467168
training-c1-omnetpp,mess,0.2886978039797404,0.2886978039797404,0.2685312270189266,0.006653217291921215,1.3415468051458408,1.6062056986780135,-276,68,109.57500657908055,181704,0.9195732707139821,0.9195779245426251
training-c1-omnetpp,opus_single_core,0.07018834638996814,0.07018834638996814,0.02053271248891702,0.0026157286516341476,0.5293177870643454,1.5697010237080586,-236,208,109.57500657908055,183746,0.9299074880058301,0.9299074880058301
training-c1-omnetpp,wmg1,28.240393968938253,-28.240393968938253,0.6057547270697666,-0.6057547270697666,1.9530001108925845,2.226785173167246,-343,0,109.57500657908055,181813,0.9201249013137918,0.9201295579341583
training-c1-whiskey,astra_single_core,0.034036643673630115,-0.034036643673630115,0.17809906785008972,0.057601664474904,3.128871096789363,6.54153865844554,-1251,1159,104.50094934735911,159404,0.9034612921326026,0.9034459306279755
training-c1-whiskey,deepseek_single_core,0.021572154132598904,0.021572154132598904,0.14570801378107903,-0.011052312973030467,1.9042889202712205,5.578896686020712,-1207,410,104.50094934735911,159417,0.9035349728231606,0.9035196100657448
training-c1-whiskey,fixedlat,25.37377139881576,-25.37377139881576,0.5349850425022985,-0.5300517282518338,2.038258995064171,6.583672246967838,-1267,120,104.50094934735911,159275,0.9027301529724491,0.9027148038993426
training-c1-whiskey,gemini_single_core,1.2636103963835181,1.2636103963835181,0.12873655281838997,0.023257337748047367,1.8085960097048277,5.827698253493334,-1227,405,104.50094934735911,159493,0.9039657214756542,0.9039503513942416
training-c1-whiskey,md1,25.238457524883895,-25.238457524883895,0.5681739096061412,-0.5593671046451271,2.0861054503473673,7.430353550368708,-1356,44,104.50094934735911,158508,0.898382992229521,0.898367717070959
training-c1-whiskey,mess,4.70352326882097,4.70352326882097,0.3040076175607765,0.0618330251104147,1.4832401137790914,6.822904523383821,-1290,109,104.50094934735911,158452,0.8980655984855784,0.8980503287236454
training-c1-whiskey,opus_single_core,0.0755155504135127,0.0755155504135127,0.03627986021462268,0.0013673841320675465,0.7081275381913081,6.300143722250803,-1216,1087,104.50094934735911,159630,0.9047422025992281,0.904726819315348
