campaign,core_abs_pct,cores,kind,mae_L,promoted,round,split,stage
gemini,1.8492784923109558,1,submitted,0.18567086374539302,True,6,training,single_core
gemini,2.043446943960976,1,submitted,0.17422945506437107,True,6,validation,single_core
gemini,1.8492784923109558,1,retained,0.18567086374539302,True,6,training,single_core
gemini,2.043446943960976,1,retained,0.17422945506437107,True,6,validation,single_core
gemini,1.7574532065882846,1,submitted,0.1846913997992545,True,7,training,single_core
gemini,1.868420160622302,1,submitted,0.17324996862141107,True,7,validation,single_core
gemini,1.7574532065882846,1,retained,0.1846913997992545,True,7,training,single_core
gemini,1.868420160622302,1,retained,0.17324996862141107,True,7,validation,single_core
gemini,1.567369148553182,1,submitted,0.1832921910291039,True,8,training,single_core
gemini,1.2533566501017415,1,submitted,0.1690589503308322,True,8,validation,single_core
gemini,1.567369148553182,1,retained,0.1832921910291039,True,8,training,single_core
gemini,1.2533566501017415,1,retained,0.1690589503308322,True,8,validation,single_core
gemini,1.483838157053026,1,submitted,0.18404500751838923,True,9,training,single_core
gemini,1.0772215539789676,1,submitted,0.1709052201456869,True,9,validation,single_core
gemini,1.483838157053026,1,retained,0.18404500751838923,True,9,training,single_core
gemini,1.0772215539789676,1,retained,0.1709052201456869,True,9,validation,single_core
gemini,0.8652130305036653,1,submitted,0.1556086227021658,True,10,training,single_core
gemini,1.167486659783899,1,submitted,0.15014264205716327,True,10,validation,single_core
gemini,0.8652130305036653,1,retained,0.1556086227021658,True,10,training,single_core
gemini,1.167486659783899,1,retained,0.15014264205716327,True,10,validation,single_core
