batch,arm,pattern,read_percent,interval,n,median,oracle_relative_speedup
batch_a,oracle,streaming,75,256,5,168156.09163679153,1.0
batch_a,astra_single_core,streaming,75,256,5,5975358.167868376,35.53459235229396
batch_a,deepseek_single_core,streaming,75,256,5,4426209.621454575,26.322029599825377
batch_a,fixedlat,streaming,75,256,5,10215627.084205007,60.75085942334003
batch_a,md1,streaming,75,256,5,10205898.720020885,60.69300624603656
batch_a,wmg1,streaming,75,256,5,6590135.067862858,39.19058182023646
batch_a,mess,streaming,75,256,5,9630337.028532816,57.270223961519314
batch_a,oracle,random,50,1,5,59286.78920964487,1.0
batch_a,astra_single_core,random,50,1,5,4317792.345657971,72.82891185740829
batch_a,deepseek_single_core,random,50,1,5,2321312.402510044,39.15395712022147
batch_a,fixedlat,random,50,1,5,3484978.70118326,58.78170748731183
batch_a,md1,random,50,1,5,8908195.744260566,150.25599906853054
batch_a,wmg1,random,50,1,5,4783475.374871589,80.68366390962197
batch_a,mess,random,50,1,5,5836428.188872381,98.44399176744254
batch_a,oracle,random,50,4,5,59298.38995932028,1.0
batch_a,astra_single_core,random,50,4,5,4304537.809408466,72.59114138447019
batch_a,deepseek_single_core,random,50,4,5,2331254.0314463386,39.31395157685764
batch_a,fixedlat,random,50,4,5,4100743.207708973,69.15437688143226
batch_a,md1,random,50,4,5,8689267.859025728,146.5346338237297
batch_a,wmg1,random,50,4,5,5211547.310846018,87.88682651284847
batch_a,mess,random,50,4,5,6315793.156788852,106.50867858506099
batch_a,oracle,streaming,100,1,5,81258.31359281146,1.0
batch_a,astra_single_core,streaming,100,1,5,5339022.692728984,65.70432558424768
batch_a,deepseek_single_core,streaming,100,1,5,3308058.6558999224,40.71040253772348
batch_a,fixedlat,streaming,100,1,5,1886320.5744343835,23.21387795329852
batch_a,md1,streaming,100,1,5,6184497.80372527,76.10910847493126
batch_a,wmg1,streaming,100,1,5,3375152.473778685,41.536088118831806
batch_a,mess,streaming,100,1,5,4002708.4406717974,49.25906364153117
batch_a,oracle,random,75,64,5,263936.33858596085,1.0
batch_a,astra_single_core,random,75,64,5,5315673.07974805,20.139981891947023
batch_a,deepseek_single_core,random,75,64,5,4060092.0056150164,15.38284583080512
batch_a,fixedlat,random,75,64,5,10231815.42775763,38.76622477440806
batch_a,md1,random,75,64,5,10247721.596900899,38.82648994754976
batch_a,wmg1,random,75,64,5,6334019.229074003,23.998284067319098
batch_a,mess,random,75,64,5,9037246.251296032,34.240250128925354
batch_a,oracle,streaming,50,64,5,575594.1926483025,1.0
batch_a,astra_single_core,streaming,50,64,5,5731943.197859845,9.958306166167587
batch_a,deepseek_single_core,streaming,50,64,5,4334491.848223475,7.5304648719274345
batch_a,fixedlat,streaming,50,64,5,12142344.775803879,21.09532189672916
batch_a,md1,streaming,50,64,5,12141189.779389093,21.093315280905827
batch_a,wmg1,streaming,50,64,5,7220134.427293059,12.543793039455975
batch_a,mess,streaming,50,64,5,10915431.671441106,18.96376268360062
batch_b,oracle,streaming,100,4,5,79582.49599791795,1.0
batch_b,opus_single_core,streaming,100,4,5,717893.5191381205,9.020746461092426
batch_b,gemini_single_core,streaming,100,4,5,3326053.650707519,41.79378403505383
batch_b,oracle,streaming,50,256,5,171318.504517081,1.0
batch_b,opus_single_core,streaming,50,256,5,3320073.7092751465,19.37953940605479
batch_b,gemini_single_core,streaming,50,256,5,6016358.435267712,35.1179719448687
batch_b,oracle,streaming,50,16,5,551742.8147525544,1.0
batch_b,opus_single_core,streaming,50,16,5,1182974.5447052452,2.144068781821446
batch_b,gemini_single_core,streaming,50,16,5,3519440.101115147,6.378769250839352
batch_b,oracle,random,100,4,5,73644.2635231799,1.0
batch_b,opus_single_core,random,100,4,5,1120966.478752711,15.22136857814976
batch_b,gemini_single_core,random,100,4,5,2275706.918895329,30.90134669048647
batch_b,oracle,random,50,16,5,141850.88497251502,1.0
batch_b,opus_single_core,random,50,16,5,275918.90396681684,1.9451334689965367
batch_b,gemini_single_core,random,50,16,5,3013096.360053951,21.241294057754857
batch_b,oracle,random,75,16,5,183659.9751802262,1.0
batch_b,opus_single_core,random,75,16,5,420610.92819041875,2.290161085874436
batch_b,gemini_single_core,random,75,16,5,3094020.261606282,16.846459107762094
batch_b,oracle,streaming,75,16,5,751551.2009648177,1.0
batch_b,opus_single_core,streaming,75,16,5,1596900.9951628305,2.1248066573678273
batch_b,gemini_single_core,streaming,75,16,5,4083167.7207991583,5.432986755336585
batch_b,oracle,random,75,1,5,60514.66721422991,1.0
batch_b,opus_single_core,random,75,1,5,517589.4877077333,8.553124581771197
batch_b,gemini_single_core,random,75,1,5,2325820.545953365,38.43399712865731
batch_b,oracle,random,100,16,5,302633.05847738555,1.0
batch_b,opus_single_core,random,100,16,5,1734213.076920625,5.730415195371709
batch_b,gemini_single_core,random,100,16,5,3836705.1245634165,12.677746257684921
batch_b,oracle,random,100,1,5,73602.16004986124,1.0
batch_b,opus_single_core,random,100,1,5,1126323.6122582993,15.302860833096197
batch_b,gemini_single_core,random,100,1,5,2283891.1058206214,31.030218464694734
batch_b,oracle,random,75,256,5,128377.74943999689,1.0
batch_b,opus_single_core,random,75,256,5,3102706.6763274027,24.16857040929505
batch_b,gemini_single_core,random,75,256,5,6176960.224971809,48.11550484345334
batch_b,oracle,streaming,100,16,5,1371276.2931238427,1.0
batch_b,opus_single_core,streaming,100,16,5,3044136.0346074337,2.219929017858775
batch_b,gemini_single_core,streaming,100,16,5,5141747.658310317,3.7496073432416264
batch_b,oracle,streaming,50,1,5,76456.06580118787,1.0
batch_b,opus_single_core,streaming,50,1,5,91933.16236742664,1.2024312447162082
batch_b,gemini_single_core,streaming,50,1,5,2710271.2538449955,35.448740730299086
batch_b,oracle,random,75,4,5,60474.998762119714,1.0
batch_b,opus_single_core,random,75,4,5,516513.3717907737,8.540940593029115
batch_b,gemini_single_core,random,75,4,5,2317271.6087033916,38.31784466533768
batch_b,oracle,streaming,100,256,5,167804.9084199955,1.0
batch_b,opus_single_core,streaming,100,256,5,3629785.9151976835,21.63098773078059
batch_b,gemini_single_core,streaming,100,256,5,6501273.100102535,38.743044892528594
batch_b,oracle,random,100,256,5,129430.16621653522,1.0
batch_b,opus_single_core,random,100,256,5,3444323.308665246,26.61144159316717
batch_b,gemini_single_core,random,100,256,5,6442833.374729397,49.77845245095806
batch_b,oracle,streaming,100,64,5,589773.2243147012,1.0
batch_b,opus_single_core,streaming,100,64,5,3528125.943771485,5.982173822609633
